start,end,today,Consentimiento Informado,FECHA DE DILIGENCIAMIENTO,Departamento,La información que compartas en este instrumento es anónima y sólo será usada para fines investigativos.,Nombre del Centro de Desarrollo Infantil.,NOMBRE DEL CENTRO EDUCATIVO2,NOMBRE DEL CENTRO EDUCATIVO3,NOMBRE DEL CENTRO EDUCATIVO4,"1. Narra una historia relacionada con una situación significativa para ti (positiva, negativa, interesante o mixta), que hayas vivido o que estés viviendo como agente educativo en el centro infantil. ",Ponle un hashtag (#) o un título a tu historia:,La historia que contaste te genera,¿Con qué frecuencia sucede la situación que narraste en la historia? ,"En general, mi experiencia se relaciona con...","En general, mi experiencia se relaciona con.../La apropiación y uso de herramientas tecnológicas.","En general, mi experiencia se relaciona con.../Las formas como están organizadas las rutinas diarias.","En general, mi experiencia se relaciona con.../La vinculación de las familias a las propuestas del Centro de Desarrollo Infantil.","En general, mi experiencia se relaciona con.../Los momentos de alimentación de las niñas y los niños.","En general, mi experiencia se relaciona con.../El desempeño de los docentes y sus prácticas.","En general, mi experiencia se relaciona con.../La disposición intencionada de los espacios y ambientes.","En general, mi experiencia se relaciona con.../La calidad de las interacciones entre los actores.","En general, mi experiencia se relaciona con.../El acompañamiento a las transiciones de las niñas y los niños.","En general, mi experiencia se relaciona con.../La documentación de las experiencias realizadas en el Centro de Desarrollo Infantil.","En general, mi experiencia se relaciona con.../El trabajo colaborativo entre las y los Agentes Educativos.","En general, mi experiencia se relaciona con.../Otro",¿Cuál es el actor principal de tu historia?,"Si en la anterior pregunta tu respuesta fue ""Otro"", escribe cuál","Mientras escribías la historia, sentiste que","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades manuales: tejer, sembrar, cocinar.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.","De las siguientes habilidades, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución/Ninguna de las anteriores","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución ","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Trabajo Colaborativo.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Sostenibilidad.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Pensamiento Crítico.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Resolución de problemas.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Manejo de herramientas tecnológicas.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Manejo de la Información y Comunicación.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Creatividad e Innovación.","De las siguientes competencias del Siglo XXI, elige cuáles tienes tú que ayudan a fortalecer la situación que narraste en la historia o contribuyen a una posible solución /Vida y Carrera.","De acuerdo con la historia que contaste, cuál fue tu rol como agente educativo/a.",_id,_uuid,_submission_time,_validation_status,_index
2020-10-20T15:39:52.278-05:00,2020-10-20T16:55:57.154-05:00,2020-10-19,Sí,2020-10-20,Nariño,,CDI JARDINCITO DE AMOR,CDI NUEVO AMANECER,,,"Un Paseo a Caballo: Durante la aplicación de las practicas como estrategias para los acompañamientos a los sistemas familiares en aquel momento se trabajó la practica 13 ""Generar experiencias para el disfrute del juego, la creación, la exploración y la literatura con niñas y niño desde la gestación, en la vereda de Espriella la familia Lopez integrada por el niño Juan David, el padre Carlos y la mamá Estela decidieron  tener un día de disfrute en familia, en la mañana después de un delicioso desayuno de arepas, queso y chocolate que doña Estela preparó se apresuraron a tomar el mas refrescante de los baños en su piscina acondicionada con amor la cual constaba de un tanque partido por la mitad lleno de agua en el que papá y  su hijo se sumergieron y disfrutaron de juegos y risas durante casi toda la mañana, después  del baño y ya vestidos salieron los tres juntos a recoger algunas frutas que estaban de cosecha por ese tiempo como guayabas, y naranjas. ya en la tarde Juan David propuso dar un paseo, sus padres decidieron dar el paseo montados en el mas grande, fuerte y bello corcel e único inconveniente es que debían elaborarlo así que tomaron dos sillas las colocaron frente a frente, una tabla de la cama la cual sirvió como el cuerpo del caballo, dos almohadas, unas flores y ambos padre e hijo dieron el paseo mas maravilloso que ambos pudieron tener a galope disfrutaron anunciando los caseríos imaginarios por donde pasaban Espriella, La finca de los abuelos, El CDI, Robles entre otros, de ésta manera disfruto toda la familia de un día maravilloso, divertido e inolvidable. Lo mas importante es que se dispusieron a disfrutar en familia de un tiempo especial para todos.",La Magia de disponer el Corazón,Motivación,De vez en cuando,La vinculación de las familias a las propuestas del centro infantil El desempeño de los agentes educativos y sus prácticas La disposición intencionada de los espacios y ambientes,0,0,1,0,1,1,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Trabajo Colaborativo Resolución de problemas Manejo de la Información y Comunicación,1,0,0,1,0,1,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,130334287,3bfe720c-0642-4c11-9d0a-cadf0f08ea46,2020-10-20T21:55:59,,176
2020-10-21T17:23:06.603-05:00,2020-10-21T17:58:48.141-05:00,2020-10-20,Sí,2020-10-21,Nariño,,CDI CHIQUITOS ALEGRES,,,,"Para mi lo más hermoso que hay  en la vida es trabajar con la niñez, ya que los niñ@s es el futuro del mañana, a los niños se le tiene que brindar cariño, respeto, y sobre todo amor... A pesar de que no se está trabajando presencial, pero me siento muy bn y motivada a la vez...",# Sonrisas Tiernas en la niñez,Motivación,Todo el tiempo,La vinculación de las familias a las propuestas del centro infantil Los momentos de alimentación de las niñas y los niños El acompañamiento a las transiciones de las niñas y los niños,0,0,1,1,0,0,0,1,0,0,0,Niños/niñas,Relación del tema de los niñ@s,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",1,1,0,0,1,0,Trabajo Colaborativo Manejo de la Información y Comunicación Creatividad e Innovación,1,0,0,0,0,1,1,0,Potenciar el desarrollo de los niños y las niñas.,130694968,be09b497-66ee-4d7f-8c09-d44cd76eceda,2020-10-21T22:58:49,,191
2020-10-21T17:58:35.982-05:00,2020-10-21T18:16:16.127-05:00,2020-10-20,Sí,2020-10-21,Nariño,,CDI FLORIDA,,,,"Había una vez una madre soltera ingresó a trabajar con icbf sin experiencia alguna y poco a poco se fue formando vinculándose con los niños,niños y sistema familiar logrando una gran satisfacción día a día por la labor realizada fortaleciendo cada conociendo y conviviendo con cada niño,niña y sistema familiar",El camino de alegría y progreso,Orgullo,Todo el tiempo,La vinculación de las familias a las propuestas del centro infantil,0,0,1,0,0,0,0,0,0,0,0,Niños/niñas,Ninguna,Fui muy honesto y conté lo que me pasó,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Vida y Carrera,0,0,0,0,0,0,0,1,Dar cumplimiento a los criterios de calidad de la educación inicial en el marco de la atención integral.,130697601,fa6621e9-2d5d-4752-85c8-26b3c4fb6c34,2020-10-21T23:16:17,,193
2020-10-21T18:32:51.757-05:00,2020-10-21T19:08:30.471-05:00,2020-10-20,Sí,2020-10-21,Nariño,,CDI NUEVO AMANECER,,,,"TODOS LOS AÑOS EDUCAMOS NIÑOS Y NIÑAS Y EN ALGUNOS AÑOS NOS ENCONTRAMOS CON NIÑOS Y NIÑAS PASIVOS , CURIOSOS  Y REBELDES   PARA MI LO MAS SIGNIFICATIVO ES TRABAJAR SOBRE TODO CON LOS NIÑOS REBELDES PORQUE TENER  EL RETO DE PODERLOS ORIENTAR  ES INTERESANTE Y ESTO NOS LLEVA A CONOCER DESDE EL NACIMIENTO DEL NIÑO  Y NIÑA CONOCER SU FAMILIA  SABER COMO VIVE Y ADENTRARSE A DESCUBRIR PORQUE EL NIÑO O NIÑA ES ASI  AL CONOCER TODO ESTA INVESIGACION PASO A PASO BUSCAMOS ESTRATEGIAS VARIAS PROBAMOSHASTA ENCONTRAR LA QUENOS DE RESULTADO  AL FINAL  ALTERMINAR EL AÑO LOGRAMOS QUE EL NIÑO O NIÑA SEA MAS CALMADO  O YA NO MUESTRE REBELDIA  Y PARA LOGRARLO SIEMPRE TRABAJAMOS EN EQUIPO  CON LAS COMPAÑERAS DE TRABAJO , CON LA FAMILIA  CON LOS COMPAÑERITOS DEL SALON  Y CON EQUIPO EN SI OSEA CON LA NUTRI, CON LA PSICO  Y HASTA LA CORDINADORA    ESTA ACCION  AL FINAL DEL LOGRO EXITOSO NOS  ALEGRA  Y  NOS HACE SENTIR MUY SERVICIALES  PARA NUESTRA COMUNIDAD Y PARA NUESTROS NIÑOS Y NIÑAS SOMOS UNAS SEGUNDAS MAMÁ Y ESTO ES MUY GRATIFICANTE   PARA TODOS",MIS NIÑOS REBELDES,Motivación,De vez en cuando,La vinculación de las familias a las propuestas del centro infantil El desempeño de los agentes educativos y sus prácticas La calidad de las interacciones entre los actores La documentación de las experiencias realizadas en el centro infantil El trabajo colaborativo entre los agentes educativos ,0,0,1,0,1,0,1,0,1,1,0,Niños/niñas,NO APLICA,Fui muy honesto y conté lo que me pasó,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",1,0,1,0,0,0,Trabajo Colaborativo Resolución de problemas Manejo de la Información y Comunicación,1,0,0,1,0,1,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,130704684,5ded1f69-e294-42cb-99ed-183efe2d79f5,2020-10-22T00:08:32,,196
2020-10-21T18:40:38.041-05:00,2020-10-21T18:47:06.892-05:00,2020-10-20,Sí,2020-10-21,Nariño,,CDI CANDELILLA,,,,Las relaciones asertivas ocacionan un buen clima laboral. Teniendo como resultado final el exito colectivo.,Lo positivo,Tranquilidad,Todo el tiempo,El desempeño de los agentes educativos y sus prácticas El trabajo colaborativo entre los agentes educativos ,0,0,0,0,1,0,0,0,0,1,0,Agentes educativos,,Me confundí y no sabía qué contar,"Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación.",0,0,1,0,0,0,Resolución de problemas Manejo de herramientas tecnológicas Manejo de la Información y Comunicación,0,0,0,1,1,1,0,0,"Fortalecerme como agente educativo para alcanzar mis proyectos personales, familiares y profesionales.",130701870,615fe73c-f492-4ea6-b4c2-d07de47991c2,2020-10-21T23:47:08,,194
2020-10-21T18:53:37.866-05:00,2020-10-21T18:57:46.408-05:00,2020-10-20,Sí,2020-10-21,Nariño,,CDI MI PEQUEÑO MUNDO,,,,Una historia de aprendizaje donde se compartió experiencias significativas,Esperiencias vividas,Motivación,De vez en cuando,El desempeño de los agentes educativos y sus prácticas,0,0,0,0,1,0,0,0,0,0,0,Familias y otras personas significativas,,Reflexioné y aprendí algo nuevo,"Habilidades artísticas: bailar, cantar, actuar/representar, dibujar/pintar, tocar instrumentos, modelar, jugar. Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",1,1,0,0,0,0,Trabajo Colaborativo Manejo de la Información y Comunicación,1,0,0,0,0,1,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,130703282,83be9c06-853d-4292-970e-895f62bc8a40,2020-10-21T23:57:49,,195
2020-10-21T19:50:39.968-05:00,2020-10-21T19:55:23.512-05:00,2020-10-20,Sí,2020-10-21,Nariño,,CDI CHIQUITOS ALEGRES,,,,Experiencia que estoy vivien,Mi nueva experiencia,Motivación,Única vez,El desempeño de los agentes educativos y sus prácticas,0,0,0,0,1,0,0,0,0,0,0,Agentes educativos,Ninguno,Me confundí y no sabía qué contar,"Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,0,0,0,1,0,Trabajo Colaborativo,1,0,0,0,0,0,0,0,Dar cumplimiento a los criterios de calidad de la educación inicial en el marco de la atención integral.,130711773,9ca2d840-f3cb-43ae-b514-1db837e57e64,2020-10-22T00:55:32,,197
2020-10-21T20:50:51.097-05:00,2020-10-21T21:08:42.422-05:00,2020-10-20,Sí,2020-10-21,Nariño,,CDI SEMILLAS DE AMOR,,,,Hace unas semanas me encontraba en el centro infantil dialogando con una mamita me manifestaba que estaba muy agradecida con elcentro y las docentes ya que gracias a nosotras su hijo estaba creciendo con unos valores que ella en la casa se los había enseñado pero q cuando el niño empezó a ir al centro ella noto la diferencia en el niño por todo lo q el decia cosas bonitas q le habían enseñado para mí fue muy agradable escuchar eso ya q uno ayuda en el crecimiento y fortalecimiento del niño me senty muy feliz,Fortaleciendo la crianza de los niños,Motivación,De vez en cuando,El desempeño de los agentes educativos y sus prácticas,0,0,0,0,1,0,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Manejo de la Información y Comunicación,0,0,0,0,0,1,0,0,Acompañar a las familias para que apoyen el desarrollo de sus hijos.,130723236,56970220-2a20-4a82-b17b-eb12afc17777,2020-10-22T02:08:46,,199
2020-10-21T22:26:18.925-05:00,2020-10-21T22:31:55.775-05:00,2020-10-20,Sí,2020-10-21,Nariño,,CDI CLAVEL INFANTIL,,,,Fortalecer mis habilidades creativas y propositivas,Creando a prendo,Orgullo,Todo el tiempo,El desempeño de los agentes educativos y sus prácticas,0,0,0,0,1,0,0,0,0,0,0,Otro,Es una  historia que refleja los conocimientos y experiencia adquiridas,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender. Habilidades socioemocionales:  meditar, acompañar y guiar, sentido del humor, incentivar y motivar, compartir y ser solidario, auto-regulación. Habilidades socio-ambientales: cuidado de sí mismo, de otros y de la naturaleza.",0,1,1,0,1,0,Trabajo Colaborativo Pensamiento Crítico Resolución de problemas Manejo de herramientas tecnológicas Manejo de la Información y Comunicación,1,0,1,1,1,1,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,130733484,1398bc2c-88cc-48f5-9e72-ab6596e9b3bd,2020-10-22T03:31:57,,200
2020-10-22T16:02:41.606-05:00,2020-10-22T17:17:05.290-05:00,2020-10-21,Sí,2020-10-22,Nariño,,CDI SAGRADO CORAZON,,,,"EN LA ENTREGA DE PAQUETE LLEGA UNA SEÑORA SIN TENER EL NIÑO COMO BENEFICIARIO EN LA UDS SOLICITANDO QUE LE REGALEN UN PAQUETE DE ALIMENTOS , MANIFESTANDO QUE SU NIÑO TIENE HAMBRE … LA ENFERMERA AL VER ESTA SEÑORA LE RESPONDE QUE LOS PAQUETES ESTAN COMPLETOS Y QUE NO PUEDO…VIENDO ESTA SEÑORA TAN TRISTE LE DICE QUE LA VA A TENER ENCUENTA CUANDO OTRO BENEFICIARIO SE RETIRE DE LA UDS Y QUE LE LLAMARA … CONMOVIENDOSE LA COORDINADORA PROPONE REALIZAR ENTRE TODOS Y REALIZAR UNA COLECTA PARA ENTREGARLE UN MERCADO A LA SEÑORA",#UNIDOSTODOSPODEMOS,Motivación,De vez en cuando,La vinculación de las familias a las propuestas del centro infantil Los momentos de alimentación de las niñas y los niños,0,0,1,1,0,0,0,0,0,0,0,Niños/niñas,,Fui muy honesto y conté lo que me pasó,"Habilidades comunicativas: contar historias, argumentar, conversar, exponer ideas, escribir textos, leer y comprender.",0,1,0,0,0,0,Trabajo Colaborativo,1,0,0,0,0,0,0,0,Solucionar la situación poniendo en práctica mis conocimientos profesionales y personales.,131118167,b108a3b3-9d84-4dfd-8613-7ac26da45e14,2020-10-22T22:17:05,,215
